1-4|---|---|---|$
0|0|0|0|$
T_Diamond_1|T_Diamond_2|T_Diamond_3|T_Gold_1|$
0|T_Diamond_4|0|T_Gold_2|$
0|0|0|T_Gold_3|$
--MetaData--|---|---|---|$
Grid_Type|1|---|---|$
Origin|0|0|---|$
isLastLevel|False|---|---|$
isRandomLevel|False|---|---|$
Next_Level|Assets/Resources/ScriptableObjects/LevelData/1-5.asset|---|---|$
--TreasureToFind--|---|---|---|$
Diamond|---|---|---|$
Gold|---|---|---|$
--TreasureRotations--|---|---|---|$
None|---|---|---|$
None|---|---|---|$
--Hints--|---|---|---|$
(1,-1)|---|---|---|$
(3, -2)|---|---|---|$
--Tools--|---|---|---|$
Shovel|8|---|---|$
Pickaxe|3|---|---|$
Bomb|3|---|---|$
